,TITLE,REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,LATITUDE,LONGITUDE,REPORT_DATE,REPORT_COUNT,URL
0,Raven Roost,Mount Rainier Area,,,,,2.75,4,47.0088522465,-121.115564347,2018-10-07,6,https://www.wta.org/go-hiking/hikes/raven-roost
2,Ranger Hole - Interrorem Nature Trail,Olympic Peninsula,2.1,roundtrip,200.0,320.0,4.33,12,47.6806854,-122.9923121,2021-04-09,71,https://www.wta.org/go-hiking/hikes/ranger-hole
9,Rainbow Ridge,North Cascades,,,1700.0,5300.0,2.88,8,48.7634311379,-121.699676514,2020-09-28,30,https://www.wta.org/go-hiking/hikes/rainbow-ridge
15,Pyramid Mountain,Central Cascades,18.0,roundtrip,3000.0,8243.0,3.0,4,48.01805556,-120.50527778,2020-08-01,44,https://www.wta.org/go-hiking/hikes/pyramid-mountain
20,Pilot Ridge,North Cascades,,,,,2.8,5,48.0448418,-121.258825,2020-08-29,67,https://www.wta.org/go-hiking/hikes/pilot-ridge
22,Pot Peak,Central Cascades,,,,,1.86,7,47.9818789985,-120.279006958,2021-04-18,14,https://www.wta.org/go-hiking/hikes/pot-peak
23,Pinnacle Saddle Snowshoe,Mount Rainier Area,6.0,roundtrip,1400.0,6100.0,3.5,2,46.7666069,-121.6990741,2019-03-20,23,https://www.wta.org/go-hiking/hikes/pinnacle-saddle-snowshoe
25,Poodle Dog Pass,North Cascades,,,,4800.0,2.2,5,47.9834876325,-121.380858421,2020-08-09,21,https://www.wta.org/go-hiking/hikes/poodle-dog-pass
28,Pugh Ridge,Central Cascades,12.4,roundtrip,2833.0,6783.0,3.2,5,48.0113,-120.57225,2020-07-20,13,https://www.wta.org/go-hiking/hikes/pugh-ridge
30,Little Beaver Creek,North Cascades,35.0,roundtrip,6213.0,5197.0,2.2,5,48.9160695273,-121.073970795,2020-07-17,17,https://www.wta.org/go-hiking/hikes/little-beaver-creek
31,Wilburton Hill Park,Puget Sound and Islands,2.8,trails,175.0,230.0,3.0,2,47.6100664047,-122.17487812,2021-04-12,10,https://www.wta.org/go-hiking/hikes/wilburton-hill-park
32,Camano Island State Park,Puget Sound and Islands,2.6,roundtrip,200.0,200.0,2.82,11,48.1219666667,-122.491016667,2021-04-11,91,https://www.wta.org/go-hiking/hikes/camano-island-state-park
33,Cowiche Mountain,Central Washington,7.0,roundtrip,1140.0,2970.0,3.0,1,46.6597861084,-120.756998062,2021-04-03,24,https://www.wta.org/go-hiking/hikes/cowiche-mountain
34,Coal Creek Trail,Issaquah Alps,6.0,roundtrip,550.0,600.0,3.28,25,47.5541912,-122.1665777,2021-04-19,220,https://www.wta.org/go-hiking/hikes/coal-creek
35,Lower Gray Wolf River,Olympic Peninsula,8.4,roundtrip,800.0,1500.0,3.64,22,47.9670333333,-123.1274,2021-04-21,232,https://www.wta.org/go-hiking/hikes/gray-wolf-river
36,Lake Whatcom Park - Hertz Trail,Puget Sound and Islands,6.2,roundtrip,100.0,,3.56,9,48.7302068179,-122.309044227,2021-04-03,48,https://www.wta.org/go-hiking/hikes/lake-whatcom-park-hertz-trail
37,Ohme Gardens County Park,Central Washington,1.0,roundtrip,150.0,800.0,5.0,1,47.4780493397,-120.326390043,2019-08-20,1,https://www.wta.org/go-hiking/hikes/ohme-gardens
38,Padilla Bay,Puget Sound and Islands,4.4,roundtrip,30.0,30.0,3.23,13,48.4803,-122.47305,2021-03-12,116,https://www.wta.org/go-hiking/hikes/padilla-bay
39,Anacortes Community Forest Lands - Mount Erie,Puget Sound and Islands,5.0,roundtrip,1000.0,1300.0,4.36,14,48.4690161574,-122.629368497,2021-04-20,140,https://www.wta.org/go-hiking/hikes/mount-erie
40,Hall Point,Snoqualmie Region,,,,,0.0,0,47.4356482574,-121.651964059,2021-04-01,11,https://www.wta.org/go-hiking/hikes/hall-point
41,Hansen Ridge,Snoqualmie Region,15.0,roundtrip,1300.0,4100.0,0.0,0,47.3629553026,-121.530590057,2021-04-04,87,https://www.wta.org/go-hiking/hikes/harris-lake-trail
42,Greenway Mountain,Snoqualmie Region,,,,,4.0,1,47.4364480658,-121.661224365,2021-04-16,18,https://www.wta.org/go-hiking/hikes/greenway-mountain
43,Zig Zag Trail,Snoqualmie Region,,,,,2.75,4,47.4356425254,-121.655961871,2021-04-16,47,https://www.wta.org/go-hiking/hikes/zig-zag-trail
44,Mount Kent,Snoqualmie Region,,,,,4.0,1,47.4064533249,-121.604640484,2020-09-04,15,https://www.wta.org/go-hiking/hikes/mount-kent
45,Duke of Kent,Snoqualmie Region,7.0,roundtrip,3400.0,4840.0,3.0,4,47.409284754,-121.602258682,2020-06-05,6,https://www.wta.org/go-hiking/hikes/duke-of-kent
46,Bearscout Peak,Snoqualmie Region,,,,5210.0,0.0,0,47.3325554,-121.4844987,2020-06-02,9,https://www.wta.org/go-hiking/hikes/bearscout-peak
47,Scout Patrol Peak,Snoqualmie Region,,,2724.0,4693.0,3.0,2,47.3556009,-121.5194765,2020-10-29,15,https://www.wta.org/go-hiking/hikes/scout-patrol-peak
48,Deception Crags,Snoqualmie Region,1.0,roundtrip,250.0,1450.0,3.8,5,47.4380833333,-121.6611,2020-05-09,12,https://www.wta.org/go-hiking/hikes/deception-crags
49,Ptarmigan Ridge,North Cascades,9.0,roundtrip,1800.0,6100.0,4.48,29,48.8463333333,-121.692666667,2020-12-05,264,https://www.wta.org/go-hiking/hikes/ptarmigan-ridge
50,Burfoot County Park,Olympic Peninsula,3.0,trails,150.0,200.0,3.33,6,47.1325162042,-122.901652157,2020-08-29,12,https://www.wta.org/go-hiking/hikes/burfoot-park
51,Point Defiance Park,Puget Sound and Islands,5.0,roundtrip,200.0,300.0,4.12,16,47.3049603032,-122.516784668,2021-04-17,121,https://www.wta.org/go-hiking/hikes/point-defiance-park
52,Ravensdale Retreat Natural Area,Puget Sound and Islands,3.25,roundtrip,200.0,767.0,2.0,1,47.3555097071,-121.977499106,2021-03-31,6,https://www.wta.org/go-hiking/hikes/ravensdale-retreat-natural-area
53,Indian Dan State Wildlife Refuge,North Cascades,3.0,roundtrip,200.0,1700.0,0.0,0,48.1117294269,-119.867062569,2021-04-04,4,https://www.wta.org/go-hiking/hikes/indian-dan-state-wildlife-refuge
54,O'Neil Pass,Olympic Peninsula,12.0,one-way,,5000.0,3.8,5,47.653941015065776,-123.32050323486328,2020-09-03,40,https://www.wta.org/go-hiking/hikes/oneil-pass
55,Constance Pass,Olympic Peninsula,7.8,one-way,,6080.0,4.4,5,47.7415744529,-123.049535751,2020-09-09,44,https://www.wta.org/go-hiking/hikes/constance-pass
