,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
0,,highland-trail,,Great Bend Park,,"1,007 ft",-24 ft,18 ft,0
1,,stratton-bald-trail-tr54,,Joyce Kilmer/Slickrock Wilderness,,6 miles,"-3,277 ft",83 ft,0
2,,long-bunk-trail,,,,4 miles,-216 ft,"1,335 ft",0
3,,rockhouse-creek-trail--387,,Jackrabbit Mountain Bike Trails,,2 miles,"-1,918 ft",,0
4,,talking-rock,,Clemmons Educational State Forest,,"2,979 ft",-27 ft,36 ft,0
5,,noland-creek-trail---lower,,Great Smoky Mountains National Park - West NC,,"4,810 ft",,119 ft,0
6,,cold-spring-gap-trail,,Great Smoky Mountains National Park - West NC,,4 miles,-133 ft,"2,513 ft",0
7,,a-t--side-trails--rock-gap-shelter-water-source-side-trail,,Appalachian Trail Corridor (NC),,46 ft,,,0
8,,newton-bald-concession-horse-trail-loop,,Great Smoky Mountains National Park - East NC,,"1,234 ft",-34 ft,50 ft,0
9,,gold-loop,,Hillsborough,,253 ft,-3 ft,,0
10,,fox-den-loop,,Lake James State Park,,1 mile,-60 ft,117 ft,0
11,,a-t--side-trails--siler-bald-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,256 ft,,30 ft,0
12,,kimsey-creek-group-camp-connector,,Southern Nantahala National Forest,,"1,001 ft",,18 ft,0
13,,beech-flats-quiet-walkway,,Great Smoky Mountains National Park - East NC,,"3,392 ft",-72 ft,306 ft,0
14,,mountains-to-sea-trail--nc-segment-2,,Waynesville,,32 miles,"-5,219 ft","4,665 ft",0
15,,a-t--side-trails--long-branch-shelter-campsite-side-trail,,Appalachian Trail Corridor (NC),,69 ft,-9 ft,,0
16,,wolf-laurel-trail-tr57,,Joyce Kilmer/Slickrock Wilderness,,814 ft,,62 ft,0
17,,bristol-trail--76,,Hayesville,,1 mile,-666 ft,21 ft,0
18,,eagle-creek-trail,,Great Smoky Mountains National Park - West NC,,9 miles,-193 ft,"3,372 ft",0
19,,haw-river-trail,,Burlington,,"1,214 ft",-17 ft,30 ft,0
20,,wiggly-grit-trail,,Vade Mecum,,"4,551 ft",-17 ft,132 ft,0
21,,mountain-to-sea-trail--nc-segment-31,,West Point on the Eno,,1 mile,-35 ft,15 ft,0
22,,a-t--side-trails--big-spring-gap-water-source-side-trail,,Appalachian Trail Corridor (NC),,262 ft,-13 ft,,0
23,,unknown-trail,,Central Nantahala National Forest,,1 mile,,535 ft,0
24,,yellow-hammer-gap-trail--bmt--tr49,,Joyce Kilmer/Slickrock Wilderness,,2 miles,-435 ft,323 ft,0
25,,cataloochee-divide-trail,,Great Smoky Mountains National Park - East NC,,7 miles,-748 ft,"1,765 ft",0
26,,brightwood-park-trail,,Greensboro,,200 ft,-2 ft,,0
27,,benton-mackaye-trail-connector-s-19,,"Nantahala National Forest, Cheoah Ranger District",,167 ft,,16 ft,0
28,,conner-at-hickory-flats-cemetery-access,,Great Smoky Mountains National Park - East NC,,985 ft,-87 ft,17 ft,0
29,,yadkin-islands-trail,,Pilot Mountain State Park Yadkin River Section,,1 mile,-18 ft,21 ft,0
30,,a-t--side-trails--siler-bald-shelter-side-trail--s-,,Appalachian Trail Corridor (NC),,"2,585 ft",-148 ft,11 ft,0
31,,mountain-to-sea-trail--nc-segment-17,,Stone Mountain State Park,,8 miles,"-2,126 ft",397 ft,0
32,,a-t--side-trails--cable-gap-shelter-side-trail,,Appalachian Trail Corridor (NC),,33 ft,,,0
33,,big-laurel-falls-trail--29,,Southern Nantahala National Forest,,"2,710 ft",-10 ft,103 ft,0
34,,pilkey-cemetery-access,,Great Smoky Mountains National Park - West NC,,"2,721 ft",-18 ft,315 ft,0
35,,mountain-to-sea-trail--nc-segment-26,,Elkin,,"2,169 ft",-7 ft,90 ft,0
36,,pelican-pool-trail,,Vade Mecum,,"4,006 ft",-156 ft,133 ft,0
37,,crab-creek-trail,,Holmes Education State Forest,,"2,448 ft",-8 ft,3 ft,0
38,,connector-trail,,Haw River State Park,,269 ft,-10 ft,,0
39,,big-fat-branch-trail,,Joyce Kilmer/Slickrock Wilderness,,1 mile,,992 ft,0
40,,campsite-81-access,,Great Smoky Mountains National Park - West NC,,365 ft,-43 ft,,0
41,,mountain-to-sea-trail--nc-segment-15,,Blowing Rock,,21 miles,"-3,033 ft","3,254 ft",0
42,,thumb,,Stephens Road Nature Preserve,,502 ft,,41 ft,0
43,,a-t--side-trails--hog-camp-water-source-side-trail,,Appalachian Trail Corridor (TN),,262 ft,-39 ft,,0
44,,tr-22,,Appalachian Trail Corridor (NC),,39 ft,,,0
45,,beech-gap-trail--35,,Southern Nantahala National Forest,,"2,894 ft",-47 ft,298 ft,0
46,,campsite-87-access,,Great Smoky Mountains National Park - West NC,,936 ft,-54 ft,102 ft,0
47,,picnic-area-trail,,Holmes Education State Forest,,203 ft,,,0
48,,lake-loop-trail,,Haw River State Park,,"1,699 ft",-13 ft,14 ft,0
49,,a-t--side-trails--cold-spring-shelter-privy-side-trail,,Appalachian Trail Corridor (NC),,85 ft,-7 ft,,0
50,,jim-redd-trail,,Kanuga Conference & Retreat,,2 miles,-100 ft,414 ft,0
51,,rim-trail--72,,Hayesville,,4 miles,-865 ft,653 ft,0
52,,sandy-cliff-overlook,,Lake James State Park,,"1,358 ft",-3 ft,15 ft,0
53,,a-t--side-trails--cheoah-bald-vista-1-side-trail,,Appalachian Trail Corridor (NC),,112 ft,,28 ft,0
54,,stiles-cemetery-access,,Great Smoky Mountains National Park - West NC,,335 ft,-28 ft,,0
55,,big-scaly-trail--638,,Southern Nantahala National Forest,,"3,625 ft",,314 ft,0
