,Unnamed: 0,title,Unnamed: 2,riding area,rating,distance,descent,climb,popularity_score
0,,unknown,,Swan Creek Park,,49 ft,-4 ft,,0
1,,unknown,,Grand Ridge Park,,442 ft,-32 ft,,0
2,,unknown,,Tolt MacDonald Park,,49 ft,,4 ft,0
3,,iron peak  1399,,Teanaway,,3 miles,-519 ft,"2,203 ft",0
4,,frog trail,,Pilchuck Tree Farm,,485 ft,-9 ft,52 ft,0
5,,haida s trail,,Pilchuck Tree Farm,,"2,924 ft",-191 ft,146 ft,0
6,,stephanie s sweet spot,,Pilchuck Tree Farm,,"1,277 ft",-208 ft,26 ft,0
7,,sandy s trail,,Pilchuck Tree Farm,,908 ft,-54 ft,9 ft,0
8,,quincy bog,,Pilchuck Tree Farm,,"2,220 ft",-102 ft,57 ft,0
9,,shut the front door,,Pilchuck Tree Farm,,"1,308 ft",-8 ft,123 ft,0
10,,up shiitake creek,,Pilchuck Tree Farm,,"1,223 ft",-2 ft,128 ft,0
11,,into the stone zone,,Washington,,"1,484 ft",-51 ft,73 ft,0
12,,end of the road,,Pilchuck Tree Farm,,746 ft,-57 ft,15 ft,0
13,,tractor beam,,Pilchuck Tree Farm,,897 ft,-74 ft,45 ft,0
14,,beast mode,,Pilchuck Tree Farm,,"1,314 ft",-10 ft,206 ft,0
15,,flair,,Pilchuck Tree Farm,,"1,165 ft",-100 ft,29 ft,0
16,,frigidaire,,Pilchuck Tree Farm,,"1,992 ft",-46 ft,102 ft,0
17,,stones,,Pilchuck Tree Farm,,798 ft,-57 ft,,0
18,,cooper s run,,Pilchuck Tree Farm,,656 ft,-48 ft,19 ft,0
19,,abner s,,Pilchuck Tree Farm,,425 ft,-10 ft,13 ft,0
20,,foxy,,Pilchuck Tree Farm,,"1,002 ft",-293 ft,,0
21,,pop tart,,Pilchuck Tree Farm,,673 ft,-5 ft,15 ft,0
22,,lounge  lower ,,Pilchuck Tree Farm,,"2,151 ft",-236 ft,4 ft,0
23,,enchanted forest,,Pilchuck Tree Farm,,"3,006 ft",-191 ft,41 ft,0
24,,extra credit,,Pilchuck Tree Farm,,704 ft,-77 ft,5 ft,0
25,,sasquatch zombie,,Pilchuck Tree Farm,,"1,469 ft",-59 ft,84 ft,0
26,,blazing bear,,Pilchuck Tree Farm,,"2,762 ft",-177 ft,88 ft,0
27,,3rd rail,,Pilchuck Tree Farm,,"2,220 ft",-93 ft,290 ft,0
28,,lagoon loop,,Pilchuck Tree Farm,,"3,263 ft",-149 ft,155 ft,0
29,,big creek trail  1341,,Taneum Canyon,,5 miles,"-1,233 ft",337 ft,0
30,,anderson lake trail,,Osborne Mountain,,"3,688 ft",-378 ft,,0
31,,anderson lake trail,,Osborne Mountain,,"4,327 ft",-149 ft,176 ft,0
32,,three brothers lookout tr,,Teanaway,,3 miles,,"2,745 ft",0
33,,señor,,Pilchuck Tree Farm,,"2,858 ft",-163 ft,,0
34,,big buck wildlife trail,,Winthrop,,4 miles,-236 ft,320 ft,0
35,,pine chee,,Mt Bonaparte,,"2,178 ft",-2 ft,54 ft,0
36,,goat falls trail  1189,,Greenwater,,"2,608 ft",,183 ft,0
37,,huckleberry creek trail,,Sunrise,,9 miles,"-4,016 ft",104 ft,0
38,,grindstone trail,,Carbon River and Mowich,,"4,301 ft",-552 ft,,0
39,,twin bridges trail,,Pilchuck Tree Farm,,"3,986 ft",-8 ft,180 ft,0
40,,northside,,Slavin Conservation Area,,"2,362 ft",,13 ft,0
41,,knothead trail,,Riverside State Park,,"3,888 ft",-283 ft,,0
42,,8 mile rock approach trail,,Enchantments,,351 ft,-71 ft,,0
43,,lake ann trail,,Enchantments,,4 miles,-889 ft,"1,706 ft",0
44,,national forest development road 3630,,Mt. Baker-Snoqualmie National Forest,,2 miles,-551 ft,,0
45,,ridge trail,,North Fork Nooksack,,"4,708 ft",-171 ft,224 ft,0
46,,clearcut bypass,,North Fork Nooksack,,571 ft,,67 ft,0
47,,rocky hill climb,,North Fork Nooksack,,"2,274 ft",,105 ft,0
48,,atv bypass trail,,North Fork Nooksack,,"3,317 ft",,468 ft,0
49,,skull trail,,North Fork Nooksack,,"3,143 ft",,486 ft,0
50,,4101 401,,Stevenson,,"1,972 ft",-9 ft,64 ft,0
51,,4101 402,,Stevenson,,820 ft,-52 ft,2 ft,0
52,,cg 2070,,Stevenson,,2 miles,-8 ft,"1,045 ft",0
53,,cg 2071,,Stevenson,,"4,692 ft",-328 ft,,0
54,,cg 2060a,,Stevenson,,646 ft,,14 ft,0
55,,national forest development road 504,,Silver Star Scenic Area,,2 miles,-401 ft,351 ft,0
56,,two chiefs trail,,Stevenson,,5 miles,-895 ft,835 ft,0
57,,cg 2031a1,,Stevenson,,1 mile,-697 ft,21 ft,0
58,,cg 2031a,,Stevenson,,1 mile,-322 ft,3 ft,0
59,,snag creek trail,,Stevenson,,3 miles,-35 ft,"1,524 ft",0
60,,north table mountain trail,,Stevenson,,"4,780 ft",-395 ft,15 ft,0
61,,silesia creek trail,,Mount Baker Wilderness,,4 miles,-94 ft,"2,757 ft",0
62,,us forest service trail 675,,Mount Baker Wilderness,,1 mile,-268 ft,873 ft,0
63,,national forest development road 3071,,Mount Baker Wilderness,,5 miles,"-1,324 ft",41 ft,0
64,,mailbox south trail,,Middle Fork Snoqualmie NRCA,,"4,239 ft",,"1,114 ft",0
65,,north s road,,Mount Si Natural Resources Conservation Area,,"4,242 ft",-340 ft,20 ft,0
66,,west green mountain trail,,North Bend,,"2,766 ft",-353 ft,,0
67,,logging road,,Middle Fork Snoqualmie NRCA,,"2,969 ft",-116 ft,12 ft,0
68,,angline lake way trail,,Alpine Lakes Wilderness,,"1,749 ft",-365 ft,164 ft,0
69,,painter creek trail,,Alpine Lakes Wilderness,,5 miles,-16 ft,"2,482 ft",0
70,,index creek trail,,Alpine Lakes Wilderness,,3 miles,-799 ft,36 ft,0
71,,icicle creek trail,,Alpine Lakes Wilderness,,6 miles,"-1,198 ft",23 ft,0
72,,french ridge trail,,Alpine Lakes Wilderness,,7 miles,"-2,791 ft","2,420 ft",0
73,,square lake trail,,Alpine Lakes Wilderness,,3 miles,-32 ft,"1,685 ft",0
74,,lorraine ridge trail,,Alpine Lakes Wilderness,,3 miles,-447 ft,"2,345 ft",0
75,,surprise mountain trail,,Alpine Lakes Wilderness,,1 mile,-615 ft,709 ft,0
76,,north fork chiwaukum trail,,Alpine Lakes Wilderness,,2 miles,-5 ft,507 ft,0
77,,north fork chiwaukum trail  1591,,Alpine Lakes Wilderness,,5 miles,-135 ft,"2,616 ft",0
78,,nordic pass trail,,Snoqualmie Pass,,3 miles,-29 ft,"1,324 ft",0
79,,pete lake tie,,Salmon La Sac,,"2,644 ft",-323 ft,,0
80,,red mountain trail,,Salmon La Sac,,"4,675 ft",,"1,156 ft",0
81,,mcdowell marsh,,Park Rapids,,"2,936 ft",-6 ft,7 ft,0
82,,mcdowell marsh,,Park Rapids,,"2,169 ft",-47 ft,48 ft,0
83,,elwha river restoration public trail,,Port Angeles,,"4,734 ft",-17 ft,,0
84,,state forest road,,Port Angeles,,"3,780 ft",-122 ft,52 ft,0
85,,upper barnes creek trail,,Port Angeles,,5 miles,"-2,611 ft",835 ft,0
86,,aurora divide trail,,Port Angeles,,4 miles,"-3,087 ft",274 ft,0
87,,national forest development road 2929,,Port Angeles,,4 miles,-530 ft,,0
88,,west lake mills trail,,Port Angeles,,2 miles,-524 ft,508 ft,0
89,,cat basin primitive trail,,Mount Olympus,,"2,927 ft",-304 ft,66 ft,0
90,,wayside trail,,Saltese Conservation Area,,"3,304 ft",-133 ft,112 ft,0
91,,potholes way trail,,Mount Olympus,,325 ft,,13 ft,0
92,,trail,,Mukilteo,,991 ft,,32 ft,0
93,,naketa beach road,,Mukilteo,,361 ft,-39 ft,,0
94,,naketa beach walk,,Mukilteo,,771 ft,,,0
95,,dike road,,Everett,,"3,471 ft",-2 ft,4 ft,0
96,,everett junction trail,,Forest Park,,"2,717 ft",-280 ft,21 ft,0
97,,trail,,Forest Park,,676 ft,,31 ft,0
98,,kelley hollow road,,Yakima,,5 miles,-86 ft,"2,098 ft",0
99,,bell telephone road,,Yakima,,5 miles,-47 ft,"1,834 ft",0
0,,unknown,,Swan Creek Park,,49 ft,-4 ft,,0
1,,unknown,,Grand Ridge Park,,442 ft,-32 ft,,0
2,,unknown,,Tolt MacDonald Park,,49 ft,,4 ft,0
3,,iron peak  1399,,Teanaway,,3 miles,-519 ft,"2,203 ft",0
4,,frog trail,,Pilchuck Tree Farm,,485 ft,-9 ft,52 ft,0
5,,haida s trail,,Pilchuck Tree Farm,,"2,924 ft",-191 ft,146 ft,0
6,,stephanie s sweet spot,,Pilchuck Tree Farm,,"1,277 ft",-208 ft,26 ft,0
7,,sandy s trail,,Pilchuck Tree Farm,,908 ft,-54 ft,9 ft,0
8,,quincy bog,,Pilchuck Tree Farm,,"2,220 ft",-102 ft,57 ft,0
9,,shut the front door,,Pilchuck Tree Farm,,"1,308 ft",-8 ft,123 ft,0
10,,up shiitake creek,,Pilchuck Tree Farm,,"1,223 ft",-2 ft,128 ft,0
11,,into the stone zone,,Washington,,"1,484 ft",-51 ft,73 ft,0
12,,end of the road,,Pilchuck Tree Farm,,746 ft,-57 ft,15 ft,0
13,,tractor beam,,Pilchuck Tree Farm,,897 ft,-74 ft,45 ft,0
14,,beast mode,,Pilchuck Tree Farm,,"1,314 ft",-10 ft,206 ft,0
15,,flair,,Pilchuck Tree Farm,,"1,165 ft",-100 ft,29 ft,0
16,,frigidaire,,Pilchuck Tree Farm,,"1,992 ft",-46 ft,102 ft,0
17,,stones,,Pilchuck Tree Farm,,798 ft,-57 ft,,0
18,,cooper s run,,Pilchuck Tree Farm,,656 ft,-48 ft,19 ft,0
19,,abner s,,Pilchuck Tree Farm,,425 ft,-10 ft,13 ft,0
20,,foxy,,Pilchuck Tree Farm,,"1,002 ft",-293 ft,,0
21,,pop tart,,Pilchuck Tree Farm,,673 ft,-5 ft,15 ft,0
22,,lounge  lower ,,Pilchuck Tree Farm,,"2,151 ft",-236 ft,4 ft,0
23,,enchanted forest,,Pilchuck Tree Farm,,"3,006 ft",-191 ft,41 ft,0
24,,extra credit,,Pilchuck Tree Farm,,704 ft,-77 ft,5 ft,0
25,,sasquatch zombie,,Pilchuck Tree Farm,,"1,469 ft",-59 ft,84 ft,0
26,,blazing bear,,Pilchuck Tree Farm,,"2,762 ft",-177 ft,88 ft,0
27,,3rd rail,,Pilchuck Tree Farm,,"2,220 ft",-93 ft,290 ft,0
28,,lagoon loop,,Pilchuck Tree Farm,,"3,263 ft",-149 ft,155 ft,0
29,,big creek trail  1341,,Taneum Canyon,,5 miles,"-1,233 ft",337 ft,0
30,,anderson lake trail,,Osborne Mountain,,"3,688 ft",-378 ft,,0
31,,anderson lake trail,,Osborne Mountain,,"4,327 ft",-149 ft,176 ft,0
32,,three brothers lookout tr,,Teanaway,,3 miles,,"2,745 ft",0
33,,señor,,Pilchuck Tree Farm,,"2,858 ft",-163 ft,,0
34,,big buck wildlife trail,,Winthrop,,4 miles,-236 ft,320 ft,0
35,,pine chee,,Mt Bonaparte,,"2,178 ft",-2 ft,54 ft,0
36,,goat falls trail  1189,,Greenwater,,"2,608 ft",,183 ft,0
37,,huckleberry creek trail,,Sunrise,,9 miles,"-4,016 ft",104 ft,0
38,,grindstone trail,,Carbon River and Mowich,,"4,301 ft",-552 ft,,0
39,,twin bridges trail,,Pilchuck Tree Farm,,"3,986 ft",-8 ft,180 ft,0
40,,northside,,Slavin Conservation Area,,"2,362 ft",,13 ft,0
41,,knothead trail,,Riverside State Park,,"3,888 ft",-283 ft,,0
42,,8 mile rock approach trail,,Enchantments,,351 ft,-71 ft,,0
43,,lake ann trail,,Enchantments,,4 miles,-889 ft,"1,706 ft",0
44,,national forest development road 3630,,Mt. Baker-Snoqualmie National Forest,,2 miles,-551 ft,,0
45,,ridge trail,,North Fork Nooksack,,"4,708 ft",-171 ft,224 ft,0
46,,clearcut bypass,,North Fork Nooksack,,571 ft,,67 ft,0
47,,rocky hill climb,,North Fork Nooksack,,"2,274 ft",,105 ft,0
48,,atv bypass trail,,North Fork Nooksack,,"3,317 ft",,468 ft,0
49,,skull trail,,North Fork Nooksack,,"3,143 ft",,486 ft,0
50,,4101 401,,Stevenson,,"1,972 ft",-9 ft,64 ft,0
51,,4101 402,,Stevenson,,820 ft,-52 ft,2 ft,0
52,,cg 2070,,Stevenson,,2 miles,-8 ft,"1,045 ft",0
53,,cg 2071,,Stevenson,,"4,692 ft",-328 ft,,0
54,,cg 2060a,,Stevenson,,646 ft,,14 ft,0
55,,national forest development road 504,,Silver Star Scenic Area,,2 miles,-401 ft,351 ft,0
56,,two chiefs trail,,Stevenson,,5 miles,-895 ft,835 ft,0
57,,cg 2031a1,,Stevenson,,1 mile,-697 ft,21 ft,0
58,,cg 2031a,,Stevenson,,1 mile,-322 ft,3 ft,0
59,,snag creek trail,,Stevenson,,3 miles,-35 ft,"1,524 ft",0
60,,north table mountain trail,,Stevenson,,"4,780 ft",-395 ft,15 ft,0
61,,silesia creek trail,,Mount Baker Wilderness,,4 miles,-94 ft,"2,757 ft",0
62,,us forest service trail 675,,Mount Baker Wilderness,,1 mile,-268 ft,873 ft,0
63,,national forest development road 3071,,Mount Baker Wilderness,,5 miles,"-1,324 ft",41 ft,0
64,,mailbox south trail,,Middle Fork Snoqualmie NRCA,,"4,239 ft",,"1,114 ft",0
65,,north s road,,Mount Si Natural Resources Conservation Area,,"4,242 ft",-340 ft,20 ft,0
66,,west green mountain trail,,North Bend,,"2,766 ft",-353 ft,,0
67,,logging road,,Middle Fork Snoqualmie NRCA,,"2,969 ft",-116 ft,12 ft,0
68,,angline lake way trail,,Alpine Lakes Wilderness,,"1,749 ft",-365 ft,164 ft,0
69,,painter creek trail,,Alpine Lakes Wilderness,,5 miles,-16 ft,"2,482 ft",0
70,,index creek trail,,Alpine Lakes Wilderness,,3 miles,-799 ft,36 ft,0
71,,icicle creek trail,,Alpine Lakes Wilderness,,6 miles,"-1,198 ft",23 ft,0
72,,french ridge trail,,Alpine Lakes Wilderness,,7 miles,"-2,791 ft","2,420 ft",0
73,,square lake trail,,Alpine Lakes Wilderness,,3 miles,-32 ft,"1,685 ft",0
74,,lorraine ridge trail,,Alpine Lakes Wilderness,,3 miles,-447 ft,"2,345 ft",0
75,,surprise mountain trail,,Alpine Lakes Wilderness,,1 mile,-615 ft,709 ft,0
76,,north fork chiwaukum trail,,Alpine Lakes Wilderness,,2 miles,-5 ft,507 ft,0
77,,north fork chiwaukum trail  1591,,Alpine Lakes Wilderness,,5 miles,-135 ft,"2,616 ft",0
78,,nordic pass trail,,Snoqualmie Pass,,3 miles,-29 ft,"1,324 ft",0
79,,pete lake tie,,Salmon La Sac,,"2,644 ft",-323 ft,,0
80,,red mountain trail,,Salmon La Sac,,"4,675 ft",,"1,156 ft",0
81,,mcdowell marsh,,Park Rapids,,"2,936 ft",-6 ft,7 ft,0
82,,mcdowell marsh,,Park Rapids,,"2,169 ft",-47 ft,48 ft,0
83,,elwha river restoration public trail,,Port Angeles,,"4,734 ft",-17 ft,,0
84,,state forest road,,Port Angeles,,"3,780 ft",-122 ft,52 ft,0
85,,upper barnes creek trail,,Port Angeles,,5 miles,"-2,611 ft",835 ft,0
86,,aurora divide trail,,Port Angeles,,4 miles,"-3,087 ft",274 ft,0
87,,national forest development road 2929,,Port Angeles,,4 miles,-530 ft,,0
88,,west lake mills trail,,Port Angeles,,2 miles,-524 ft,508 ft,0
89,,cat basin primitive trail,,Mount Olympus,,"2,927 ft",-304 ft,66 ft,0
90,,wayside trail,,Saltese Conservation Area,,"3,304 ft",-133 ft,112 ft,0
91,,potholes way trail,,Mount Olympus,,325 ft,,13 ft,0
92,,trail,,Mukilteo,,991 ft,,32 ft,0
93,,naketa beach road,,Mukilteo,,361 ft,-39 ft,,0
94,,naketa beach walk,,Mukilteo,,771 ft,,,0
95,,dike road,,Everett,,"3,471 ft",-2 ft,4 ft,0
96,,everett junction trail,,Forest Park,,"2,717 ft",-280 ft,21 ft,0
97,,trail,,Forest Park,,676 ft,,31 ft,0
98,,kelley hollow road,,Yakima,,5 miles,-86 ft,"2,098 ft",0
99,,bell telephone road,,Yakima,,5 miles,-47 ft,"1,834 ft",0
0,,vista verde drive,,Yakima,,1 mile,-36 ft,572 ft,0
1,,lateral g,,Snow Mountain Ranch,,"1,145 ft",,19 ft,0
2,,sedge ridge 4x4 trail,,Cheney,,5 miles,-249 ft,"1,908 ft",0
3,,a1400,,Cheney,,"4,892 ft",-238 ft,,0
4,,a1000,,Cheney,,4 miles,"-1,423 ft",31 ft,0
5,,national forest development road 464,,Park Rapids,,"4,062 ft",,254 ft,0
6,,calispell ridge trail,,Park Rapids,,"3,402 ft",,523 ft,0
7,,4th st connector,,Yakima,,"3,773 ft",-11 ft,503 ft,0
8,,lookout spur,,Yakima,,"1,555 ft",,148 ft,0
9,,5th st connector,,Yakima,,"3,829 ft",-486 ft,7 ft,0
10,,trail,,Hanford Reach,,"1,319 ft",-58 ft,,0
11,,pucker butt lower,,Teanaway Community Forest,,"1,276 ft",-28 ft,8 ft,0
12,,touch and see nature trail,,Spokane,,869 ft,-20 ft,29 ft,0
13,,forest road 5400 424,,Cabin Creek,,2 miles,-88 ft,243 ft,0
14,,4100 220,,Cabin Creek,,2 miles,-280 ft,292 ft,0
15,,forest road 5400 420,,Cabin Creek,,2 miles,-354 ft,190 ft,0
16,,4100 154,,Cabin Creek,,1 mile,-344 ft,26 ft,0
17,,national forest development road 154,,Cabin Creek,,"4,216 ft",-148 ft,116 ft,0
18,,maggie creek trail,,Norse Peak Wilderness,,5 miles,"-1,561 ft",234 ft,0
19,,arch rock trail,,Norse Peak Wilderness,,3 miles,"-2,198 ft",87 ft,0
20,,hozomeen trail  east bank trail ,,Ross Lake National Recreation Area,,3 miles,-56 ft,"1,065 ft",0
21,,willow creek trail  east lake trail ,,Ross Lake National Recreation Area,,3 miles,-33 ft,173 ft,0
22,,hozomeen trail,,Ross Lake National Recreation Area,,"2,799 ft",-17 ft,87 ft,0
23,,lightning creek trail  east lake trail ,,Ross Lake National Recreation Area,,8 miles,"-2,301 ft","1,084 ft",0
24,,desolation trail,,Ross Lake National Recreation Area,,2 miles,-310 ft,325 ft,0
25,,campsite access trail,,North Cascades National Park,,453 ft,-6 ft,,0
26,,chilliwack river trail,,North Cascades National Park,,5 miles,-999 ft,400 ft,0
27,,little beaver trail,,North Cascades National Park,,10 miles,"-1,297 ft",499 ft,0
28,,sourdough creek trail,,Ross Lake National Recreation Area,,1 mile,-14 ft,530 ft,0
29,,stetattle creek trail,,Ross Lake National Recreation Area,,4 miles,-273 ft,"1,469 ft",0
30,,panther creek trail,,Ross Lake National Recreation Area,,6 miles,"-1,192 ft","2,832 ft",0
31,,canyon creek trail,,North Cascades National Park,,9 miles,-710 ft,"1,823 ft",0
32,,mcallister campsite access,,Ross Lake National Recreation Area,,"1,437 ft",-58 ft,,0
33,,lucky ridge boot trail,,North Cascades National Park,,2 miles,-3 ft,"4,119 ft",0
34,,national forest development road 3070,,Mt. Baker-Snoqualmie National Forest,,3 miles,-201 ft,42 ft,0
35,,nooksack cirque trail,,Mt. Baker-Snoqualmie National Forest,,5 miles,-721 ft,32 ft,0
36,,quartz lake trail,,Pasayten Wilderness Area,,"2,585 ft",-132 ft,,0
37,,holman creek trail,,Pasayten Wilderness Area,,2 miles,-290 ft,31 ft,0
38,,rock creek trail,,Pasayten Wilderness Area,,7 miles,"-2,040 ft",67 ft,0
39,,west fork pasayten trail,,Pasayten Wilderness Area,,14 miles,"-3,150 ft",242 ft,0
40,,robinson pass cutoff trail,,Pasayten Wilderness Area,,2 miles,-968 ft,60 ft,0
41,,ferguson lake trail,,Pasayten Wilderness Area,,2 miles,-53 ft,"1,446 ft",0
42,,old boundary trail,,Pasayten Wilderness Area,,8 miles,"-1,426 ft",843 ft,0
